daysOfTraining,refToMaterials,averageScore,numOfIntermediateClasses,final_result_-1_0_1
30,30,49.84909056,0,1
36,76,85.07691687,4,-1
17,34,35.51876,2,1
25,42,31.19610062,1,1
28,24,36.14113048,1,1
19,45,55.04158514,2,1
25,42,53.29109948,4,-1
34,59,89.15911303,3,-1
25,25,55.15711122,1,1
2,25,39.58653266,1,1
22,68,82.53642605,5,-1
30,48,12.37919889,0,1
21,29,16.97128812,1,1
16,18,38.19857897,0,1
33,69,64.77645425,3,-1
24,16,68.10469167,2,1
8,33,61.16377998,1,1
41,57,65.40110931,4,-1
29,47,82.09946313,3,-1
18,33,41.89660112,0,1
15,31,64.11020466,2,1
16,34,23.67839076,1,1
27,76,67.00965916,5,-1
28,50,58.43409472,2,0
21,31,45.21515053,1,1
19,23,48.9459564,1,1
48,32,69.13968837,3,-1
49,87,77.69071238,4,-1
55,49,76.13171115,3,-1
23,45,46.82086163,2,1
25,34,58.79254171,2,1
54,73,72.58504586,3,-1
23,79,77.12639758,3,-1
22,23,37.02502355,0,1
24,54,78.37589433,5,-1
32,28,61.83699632,0,1
20,39,26.79565978,2,1
40,67,79.86351962,4,-1
26,33,32.5657119,0,1
55,81,56.09883828,5,-1
27,49,48.54195276,1,1
0,23,30.3440683,1,1
15,27,39.41642509,1,1
60,64,74.11932469,3,-1
41,61,79.30453172,4,-1
33,56,88.75625836,4,-1
33,20,31.9360406,0,1
23,27,40.48185829,2,1
20,45,20.50576387,0,1
35,27,47.79826716,1,1
62,61,69.42439617,5,-1
24,27,53.77168469,2,1
26,44,35.87959909,1,1
26,56,90.36500595,5,-1
20,22,38.25153197,2,1
63,63,73.35958771,5,-1
52,54,66.89830399,5,-1
45,51,57.71646583,5,-1
28,52,68.38480083,5,-1
20,21,51.96522128,0,1
26,35,64.0513016,4,-1
46,40,84.23579905,3,-1
44,51,71.96738495,5,-1
21,19,73.44801011,2,1
29,28,14.71977867,0,1
21,29,68.50630334,0,1
51,57,68.12242909,3,-1
27,71,82.80745546,5,-1
41,60,74.42789846,3,-1
45,69,76.05789317,3,-1
50,53,74.14890217,3,-1
51,59,85.79891593,3,-1
43,78,53.14953767,4,-1
33,35,67.57427794,0,1
47,78,78.77011317,4,-1
34,58,85.88062469,3,-1
18,26,76.95821566,2,1
36,19,33.46621457,2,1
18,45,58.29599321,0,1
35,66,67.67132405,5,-1
34,42,67.1516851,5,-1
41,77,62.93021528,5,-1
47,94,69.22605282,4,-1
30,48,81.27100254,3,-1
51,57,61.69579394,5,-1
0,1,56.90825126,1,1
10,34,33.78004632,2,1
39,85,75.64752201,3,-1
19,24,76.67156071,2,1
52,32,95.95355438,5,-1
24,35,10.62378924,2,1
26,22,36.69166179,2,1
30,37,50.38391542,2,1
35,38,81.17349602,4,-1
22,46,40.17320632,0,1
35,49,75.72623913,3,-1
45,58,70.47074041,4,-1
46,49,62.54066228,4,-1
21,19,47.30415001,2,1
44,61,49.60590537,4,-1
34,60,79.40372189,5,-1
54,53,90.02780247,4,-1
45,61,64.87668319,5,-1
26,37,49.53605431,1,1
39,46,75.53336442,4,-1
19,33,38.59085967,2,1
30,24,21.11275639,0,1
18,67,73.8989551,3,-1
38,40,76.48145897,5,-1
23,40,48.96076535,0,1
30,25,46.03556784,0,1
37,45,81.11654935,5,-1
27,60,84.32945365,4,-1
35,65,69.7960201,4,-1
36,32,32.37996011,1,1
8,15,24.61734625,0,1
54,69,75.78888824,4,-1
11,41,61.45210058,1,1
33,87,86.11569986,3,-1
27,64,81.28231204,4,-1
27,39,85.37137208,3,-1
51,81,82.23407217,3,-1
45,64,80.46595401,3,-1
44,43,62.37343799,4,-1
13,44,26.10468542,2,1
21,38,51.50058206,0,1
31,21,73.03410449,5,-1
13,18,39.17317063,1,1
19,42,33.19917401,2,1
21,36,38.49190212,2,1
15,17,28.03189694,1,1
31,56,61.07693714,3,-1
21,36,82.22153646,3,-1
29,40,31.28060706,1,1
15,28,48.37534911,1,1
16,26,51.64309961,2,1
24,20,55.0840009,0,1
20,13,47.7613905,1,1
29,16,37.86287488,1,1
24,68,76.37666033,5,-1
23,36,33.53010446,2,1
11,28,68.36793294,0,1
45,43,73.88245812,3,-1
25,25,51.02720907,1,1
26,30,58.27190356,0,1
14,33,54.8595207,0,1
20,13,14.54724445,1,1
23,29,44.18575711,2,1
23,79,60.14974978,3,-1
15,27,76.63697905,0,1
27,36,38.30362142,2,1
23,48,48.53342051,2,1
24,46,46.93862478,2,1
19,32,43.28783618,1,1
27,42,36.14609423,1,1
8,36,9.382310647,2,1
30,33,66.96191703,5,-1
31,48,61.99627104,3,-1
14,38,64.94091478,2,1
19,33,44.53936165,2,1
48,72,75.97177167,5,-1
48,57,56.63888739,3,-1
22,38,53.48880936,1,1
22,27,62.16941814,1,1
43,69,96.72710316,5,-1
44,75,80.50761512,4,-1
34,39,53.73407815,2,1
24,30,10.27912379,1,1
26,42,55.51114253,2,1
20,39,30.67153547,0,1
42,56,87.1843741,5,-1
48,72,79.41114931,5,-1
20,49,41.0619214,2,1
13,28,46.50107161,2,1
18,33,51.30440138,0,1
42,46,64.73934259,3,-1
20,0,49.41607419,1,1
18,5,64.73025045,0,1
46,61,78.71659909,4,-1
36,80,58.61445853,4,-1
51,60,71.16085888,3,-1
24,65,75.05307618,3,-1
31,88,75.81267307,4,-1
16,14,53.24691611,2,1
37,74,78.90228937,4,-1
16,9,63.51546884,1,1
45,56,75.07468737,5,-1
38,75,74.24954958,5,-1
37,81,76.45399297,5,-1
28,62,68.53435985,4,-1
29,43,43.29748658,2,1
25,34,45.43442416,1,1
57,54,61.89397485,3,-1
62,65,85.20962418,4,-1
38,70,83.78615329,4,-1
49,74,77.76179101,5,-1
41,63,80.25697661,5,-1
36,62,74.45099661,3,-1
25,29,22.95084273,2,1
67,55,81.05381688,4,-1
35,65,69.95224728,5,-1
15,43,57.41572593,3,-1
14,24,51.58671618,0,1
50,55,77.83921194,4,-1
24,28,52.06786076,2,1
35,58,69.74260071,5,-1
23,29,72.92127074,0,1
9,19,48.29593991,0,1
28,80,80.84699627,3,-1
47,79,67.24275778,5,-1
32,62,78.31795757,4,-1
54,58,63.43377531,5,-1
28,30,27.09781366,2,1
45,72,62.66787381,4,-1
16,36,22.92662657,1,1
25,36,73.6942661,4,-1
28,32,38.88722018,1,1
26,41,73.79960302,5,-1
4,32,50.97252872,2,1
39,84,61.55463502,3,-1
39,50,87.67414745,4,-1
47,45,74.25175806,4,-1
44,49,73.808608,3,-1
27,46,47.36577674,0,1
54,53,80.22287123,4,-1
38,45,69.89425204,4,-1
25,19,54.29491262,2,1
19,14,36.57726417,0,1
11,36,47.8564666,1,1
55,39,96.5458751,5,-1
31,50,78.33183529,4,-1
31,15,62.95946266,2,1
15,21,26.10103293,2,1
17,40,46.3817177,0,1
16,27,56.5241066,1,1
38,42,77.44564565,3,-1
37,72,72.72560609,3,-1
14,16,45.61961292,1,1
53,72,82.16045423,4,-1
39,49,77.41786288,3,-1
21,31,47.17627636,2,1
23,16,68.15127735,2,1
45,48,60.10009982,5,-1
24,23,32.69993034,1,1
27,63,65.28720404,5,-1
9,12,41.06695954,1,1
36,69,67.65816623,4,-1
45,75,55.29555687,5,-1
10,12,42.17416353,1,1
35,55,75.27789619,5,-1
22,30,41.24385617,2,1
17,54,32.76064461,0,1
24,39,24.36227629,2,1
31,56,72.71637902,3,-1
18,30,45.76030529,2,1
21,40,71.3816391,0,1
38,54,80.17276614,4,-1
43,56,68.25081781,4,-1
23,28,60.41456607,1,1
19,54,47.54621321,2,1
24,19,33.93962395,0,1
22,23,26.77296116,2,1
15,40,41.79926235,2,1
19,30,35.77407822,2,1
47,44,80.44241912,3,-1
35,79,82.39585506,3,-1
39,52,75.88684221,3,-1
24,37,77.68839039,1,1
22,37,39.57573214,0,1
16,25,51.83980955,2,1
24,32,43.345844,1,1
59,44,70.93470667,4,-1
26,84,82.9362943,3,-1
39,76,77.08349036,5,-1
30,19,27.04290195,0,1
35,79,77.71560369,3,-1
27,0,29.74008492,1,1
41,39,68.19964109,4,-1
8,25,47.80656469,1,1
45,47,75.42759738,4,-1
53,52,76.34133931,4,-1
21,18,39.63951667,2,1
13,38,19.84939155,0,1
16,46,53.03953746,0,1
31,56,39.1114487,1,1
42,65,67.21449809,3,-1
49,41,78.55612834,3,-1
47,65,75.37377999,5,-1
20,28,32.09385911,0,1
41,54,62.21612598,5,-1
26,28,41.61908651,2,1
15,43,14.83665016,0,1
37,74,75.23995332,4,-1
35,87,75.36588022,5,-1
17,36,41.49834901,0,1
38,93,66.65896413,5,-1
27,29,69.01049334,3,-1
32,49,66.86043397,5,-1
40,40,23.77196059,0,1
25,49,52.33915264,2,1
34,39,68.77073695,3,-1
30,29,79.51160773,3,-1
33,54,73.86782084,4,-1
17,18,30.84865673,0,1
58,46,77.53893514,3,-1
15,18,38.75823411,1,1
17,77,72.24989128,4,-1
36,47,77.30139547,5,-1
4,38,46.43380489,1,1
44,50,92.56594135,3,-1
25,77,75.58106217,3,-1
30,71,65.19823,5,-1
23,14,71.70704472,1,1
32,73,80.95864327,4,-1
12,66,70.57998155,5,-1
18,24,47.99201566,0,1
21,37,40.94836589,0,1
22,29,53.67559568,1,1
29,43,85.80876203,5,-1
7,23,2.392672689,0,1
24,62,76.82150695,3,-1
25,20,60.93003941,0,1
46,73,85.93062878,4,-1
16,8,18.24888325,0,1
22,51,57.01223933,2,1
56,55,100,4,-1
42,52,69.45954697,3,-1
42,65,77.62144857,5,-1
17,34,28.51516962,1,1
23,23,50.34935242,0,1
19,18,24.41831042,1,1
40,50,72.17925548,5,-1
30,30,55.03627624,0,1
58,59,82.54717227,3,-1
36,17,44.1332996,2,1
42,46,80.61820717,4,-1
36,31,74.1898975,3,-1
24,31,68.55702602,1,1
22,23,51.55166409,2,1
6,31,16.05307476,1,1
41,44,72.26056233,4,-1
23,21,71.5772387,0,1
20,45,64.86078511,1,1
53,71,72.85227416,3,-1
26,22,40.40986522,0,1
12,34,48.8656531,2,1
24,28,46.95497107,1,1
37,79,58.98125941,4,-1
19,71,65.28714433,4,-1
14,30,25.80113436,0,1
18,16,41.85022456,2,1
42,48,66.4231348,3,-1
13,18,49.41872968,1,1
37,77,86.24235318,5,-1
20,38,28.37014342,2,1
64,79,72.39720178,4,-1
34,67,73.96172108,4,-1
41,56,74.53159241,4,-1
33,35,73.13834786,5,-1
35,65,76.04731213,5,-1
21,38,65.22311848,0,1
39,52,69.52988106,4,-1
11,12,48.67359038,2,1
46,64,50.08442152,3,-1
38,51,70.62797355,5,-1
18,31,14.1541363,0,1
24,71,80.65893734,5,-1
28,35,91.78845997,5,-1
20,30,50.78828695,0,1
47,57,67.78574266,5,-1
47,85,88.96654853,5,-1
28,31,58.31954925,1,1
30,36,23.38355535,2,1
23,57,64.02682724,3,-1
20,16,36.51381225,1,1
35,53,59.64497764,3,-1
37,44,74.46161474,4,-1
47,67,65.01731372,4,-1
36,45,66.59713083,3,-1
18,33,62.27233071,0,1
40,49,66.01194294,3,-1
26,23,32.31429433,2,1
28,22,52.16435381,0,1
40,36,90.46482598,4,-1
53,69,67.01731777,3,-1
24,29,66.85584872,1,1
44,63,59.85854291,5,-1
27,61,54.70122758,5,-1
56,71,71.66824175,3,-1
59,66,85.77617771,4,-1
25,76,88.8756209,4,-1
8,28,42.60798157,1,1
28,37,41.67180721,0,1
34,109,71.70417667,4,-1
23,20,62.69847807,0,1
18,42,40.60251063,1,1
7,22,42.69231592,1,1
44,69,100,5,-1
46,53,77.25017192,4,-1
29,51,91.5791222,5,-1
31,59,81.21212199,5,-1
21,26,48.77163425,1,1
18,42,21.88549689,2,1
47,60,78.08076143,3,-1
31,61,81.9942124,5,-1
34,43,64.45097783,4,-1
26,19,21.46465394,0,1
37,51,66.48454157,4,-1
26,36,55.93724024,1,1
19,23,15.76899692,1,1
49,65,83.56917729,5,-1
14,23,54.40448736,1,1
35,72,77.39321816,3,-1
61,77,59.53880819,4,-1
49,44,77.52540615,4,-1
15,40,42.1241969,0,1
56,70,68.41646315,3,-1
23,20,79.83284669,0,1
49,103,56.30980753,5,-1
14,38,63.41713224,1,1
43,71,83.27186123,5,-1
21,36,6.767855966,1,1
34,50,67.17272911,4,-1
23,33,13.79155384,0,1
17,31,45.70997684,1,1
32,25,21.65636236,2,1
60,72,81.21695419,3,-1
56,38,72.60373243,5,-1
33,46,85.59047629,3,-1
51,75,80.18407404,4,-1
9,15,32.47436747,0,1
26,40,38.38316557,1,1
29,78,79.34824328,5,-1
33,26,47.42279647,0,1
9,15,82.42772124,2,1
9,13,24.91182979,1,1
38,52,78.18209797,4,-1
30,66,72.55829495,3,-1
15,24,47.20135081,1,1
15,28,10.84440847,1,1
30,85,84.13477023,4,-1
13,32,41.47934666,0,1
56,51,70.27330758,3,-1
36,29,42.45963993,1,1
28,38,44.85369375,1,1
23,53,60.27880002,5,-1
23,20,25.49927651,1,1
47,41,65.95036682,3,-1
22,31,49.90145123,0,1
32,21,64.08323763,0,1
35,69,69.10167217,3,-1
38,62,93.80725183,5,-1
27,58,94.93836919,4,-1
7,41,40.17308214,1,1
38,100,81.08793995,3,-1
35,64,62.98832643,4,-1
35,84,91.49060441,3,-1
48,49,82.29226689,3,-1
23,33,68.49395632,1,1
58,75,69.57713818,4,-1
43,78,71.1787854,3,-1
34,63,71.393437,3,-1
49,48,85.27142253,4,-1
38,61,75.32411129,4,-1
51,69,73.04110578,4,-1
34,32,30.67475344,0,1
21,24,47.23537092,1,1
25,30,66.19111202,0,1
8,27,10.46887286,2,1
46,56,68.09489819,5,-1
49,66,74.46125076,3,-1
46,45,78.29473651,4,-1
27,24,43.14204588,1,1
35,17,17.33153765,0,1
29,47,68.64255064,3,-1
47,54,60.22778537,4,-1
30,49,53.33971838,4,-1
18,25,33.43470651,0,1
13,15,51.81694613,1,1
25,87,83.46305743,5,-1
18,20,40.60923314,0,1
26,33,48.8165132,0,1
50,60,84.36056925,4,-1
42,67,72.6894087,4,-1
0,34,30.00105622,2,1
19,20,77.70250016,1,1
0,25,58.04756791,1,1
27,63,93.702453,4,-1
23,38,64.84714173,1,1
32,41,36.6928217,0,1
28,71,89.36209339,4,-1
34,65,65.54389232,3,-1
14,38,26.19187365,1,1
50,64,76.03128189,4,-1
10,39,41.73925812,0,1
44,66,79.42339828,5,-1
27,55,61.56646558,5,-1
36,73,67.12937399,4,-1
20,15,52.82999288,0,1
35,61,75.64445311,5,-1
16,25,30.63616417,0,1
41,70,76.15840841,3,-1
25,34,80.03915792,0,1
29,18,38.26504469,1,1
35,53,10.94022627,0,1
40,80,80.59252162,3,-1
29,61,85.17181675,4,-1
28,13,45.97078049,2,1
33,40,60.83016631,0,1
24,31,35.21810744,0,1
19,46,47.04835546,1,1
18,15,73.29972686,2,1
42,67,80.88584486,3,-1
51,41,79.43019311,4,-1
38,62,72.60669331,3,-1
25,39,46.43754657,1,1
38,36,80.71759893,4,-1
20,62,90.57375483,3,-1
13,27,41.42685469,2,1
21,35,57.01770537,0,1
16,19,34.67078166,1,1
14,21,49.78082457,1,1
23,35,74.62921908,2,1
45,50,74.06502146,4,-1
44,81,75.84425985,3,-1
23,86,77.5289673,5,-1
25,22,14.68550814,1,1
21,33,42.4587424,2,1
33,67,84.4856037,4,-1
14,19,50.53928756,1,1
15,39,39.02377636,1,1
18,9,27.5955299,2,1
35,66,92.69831497,5,-1
33,52,88.51260635,3,-1
24,36,42.58680902,0,1
30,34,58.83047782,2,1
39,65,92.52083296,4,-1
11,38,55.17147077,1,1
29,29,76.01431188,0,0
25,47,67.86922983,5,-1
31,63,54.51106263,5,-1
12,29,55.89545968,1,1
41,57,81.34153922,5,-1
52,61,82.57568114,5,-1
16,45,56.4787711,1,1
37,45,60.50703288,3,-1
26,42,35.92791181,0,1
35,45,77.60694677,3,-1
36,34,13.17085082,2,1
28,25,52.02951314,2,1
47,70,79.19116897,4,-1
11,13,40.71875696,2,1
33,29,34.05622278,1,1
16,29,36.96265548,1,1
28,35,32.98218651,2,1
44,39,78.77699981,3,-1
20,19,64.04945094,0,1
13,44,59.48257566,0,1
16,19,54.91719285,0,1
35,59,68.97472517,4,-1
40,84,76.20645732,4,-1
21,71,71.23407562,4,-1
15,39,38.1379403,2,1
7,39,44.94290465,1,1
36,33,71.7351615,5,-1
23,27,54.24887266,0,1
17,24,83.4307275,2,1
50,50,64.47012059,5,-1
44,52,75.48445587,5,-1
45,58,67.77394368,4,-1
47,75,76.34581236,5,-1
46,52,79.24139983,3,-1
14,34,40.67346502,0,1
54,54,79.64190135,4,-1
58,83,100,5,-1
32,37,29.88234385,0,1
20,47,63.32949569,2,1
50,59,68.71495977,3,-1
43,60,50.27309129,4,-1
39,79,73.78152846,3,-1
43,74,67.79833219,5,-1
36,58,82.69869661,4,-1
10,27,29.25586194,1,1
37,80,74.28014926,5,-1
37,26,91.4484417,5,-1
32,65,61.45173341,4,-1
23,30,52.22267356,1,1
35,60,80.8036147,5,-1
25,17,47.05541872,2,1
25,33,22.54409162,1,1
29,48,74.00900889,0,1
10,35,62.48674922,1,1
32,38,69.15608777,0,1
15,23,52.05002476,0,1
33,77,54.34191137,3,-1
21,40,30.03322179,2,1
46,44,43.89829742,4,-1
42,64,70.23360462,5,-1
38,54,74.97905546,4,-1
33,41,96.32476956,4,-1
45,57,63.55440567,4,-1
34,61,66.04188776,5,-1
49,52,76.27364948,5,-1
37,32,55.49411074,0,1
47,65,85.02058654,5,-1
39,49,71.95935125,3,-1
41,52,68.91286548,3,-1
31,3,63.36068615,2,1
41,56,87.52068103,5,-1
33,44,69.69247663,4,-1
36,68,73.28911821,4,-1
52,35,95.76597068,4,-1
50,56,71.98180868,4,-1
40,52,79.86161429,3,-1
7,39,51.36417869,1,1
49,48,77.21070108,5,-1
28,57,70.87199929,3,-1
34,46,62.70193079,5,-1
25,8,55.28954347,2,1
8,26,36.70229854,0,1
33,51,66.29973807,5,-1
43,67,80.46466904,3,-1
42,62,74.51035455,5,-1
18,39,64.51035253,1,1
17,42,62.2763263,1,1
52,67,58.99902757,3,-1
23,25,53.22417708,2,1
32,72,70.69570077,5,-1
48,76,76.24806979,4,-1
13,24,40.55376779,1,1
64,78,73.15194127,4,-1
40,48,74.75650902,3,-1
47,47,80.53863467,5,-1
50,77,72.92384277,3,-1
38,67,84.05290576,3,-1
42,63,65.38539069,4,-1
9,20,56.30089871,0,1
29,26,52.75640684,2,1
24,60,70.41827218,4,-1
42,83,70.98116155,3,-1
43,57,82.74395885,3,-1
5,27,74.61030701,2,1
33,40,15.59122947,1,1
31,60,63.60902836,5,-1
49,69,80.07694059,3,-1
39,75,83.18249327,4,-1
15,38,45.99671982,0,1
39,52,60.40025319,4,-1
38,66,79.13564918,5,-1
23,80,59.01217615,5,-1
33,35,68.81728431,4,-1
46,66,85.56416067,5,-1
37,40,71.00809964,5,-1
41,55,70.65453429,5,-1
9,20,41.75645942,0,1
28,50,78.15075415,4,-1
36,98,70.41780048,5,-1
43,66,69.96345439,5,-1
22,34,34.38815967,1,1
55,66,75.25413005,5,-1
15,34,21.37010152,0,1
29,17,39.92525216,2,1
47,47,87.31580442,4,-1
22,30,59.67491601,0,1
20,22,35.98099312,1,1
13,44,20.08666885,2,1
25,17,60.29898325,0,1
45,53,74.1218559,5,-1
39,66,78.46829792,3,-1
41,42,78.73846756,5,-1
44,66,90.15440701,5,-1
40,43,70.18355053,4,-1
23,26,37.81015336,2,1
27,24,55.10137535,0,1
26,16,38.34372045,2,1
31,32,36.97533158,2,1
13,31,40.42794355,1,1
67,47,69.93127398,5,-1
45,69,83.85055163,3,-1
19,47,29.3556966,0,1
17,19,73.85433213,2,1
49,57,87.47737002,5,-1
22,29,20.55442101,0,1
12,24,48.73765373,2,1
58,85,83.05374758,5,-1
5,37,43.50641717,0,1
26,41,32.19319768,0,1
23,36,31.43049823,0,1
43,68,82.47724461,3,-1
18,41,20.13559106,2,1
23,20,64.54134386,2,1
44,53,80.44889945,5,-1
23,5,59.90370918,2,1
40,71,76.34234634,3,-1
16,34,48.05245536,2,1
34,75,69.94105975,4,-1
34,57,69.53829432,4,-1
40,77,75.29334334,3,-1
25,84,66.57128681,5,-1
15,14,28.7832627,0,1
5,39,54.07799503,2,1
25,41,35.73427107,1,1
17,34,49.04381808,0,1
16,31,33.56464633,1,1
38,54,86.52206734,4,-1
22,29,56.40190286,1,1
21,22,47.0114455,1,1
47,63,76.93802341,4,-1
17,49,39.42916991,0,1
22,29,52.32065323,0,1
30,25,51.4046621,1,1
34,81,65.24614245,5,-1
40,38,71.39874506,4,-1
28,28,69.19539658,0,1
36,60,88.17602958,3,-1
48,35,79.2166246,3,-1
30,57,66.60622697,4,-1
37,14,41.53527738,0,1
33,48,71.31773171,3,-1
29,74,64.19890777,4,-1
22,25,26.53934268,1,1
39,61,78.48847383,5,-1
22,25,45.53044037,0,1
23,39,76.12631735,2,1
14,41,44.3310723,1,1
42,67,77.11484553,3,-1
8,51,74.73435847,1,1
51,43,81.20677449,5,-1
32,36,83.16618242,3,-1
19,30,37.65272526,0,1
48,55,80.37663906,5,-1
39,41,59.46626511,4,-1
22,33,67.43145581,0,1
42,61,80.56718289,4,-1
13,31,37.16834943,0,1
28,20,58.14297781,1,1
13,21,46.33341886,2,1
12,39,83.8813141,1,1
20,31,70.61450446,1,1
46,62,72.13940042,4,-1
21,41,54.55166082,5,-1
37,38,74.69484809,5,-1
4,26,41.86592331,0,1
14,37,43.44385674,2,1
43,64,78.50937656,5,-1
50,68,78.43919421,3,-1
24,59,89.70587535,4,-1
19,41,47.48498515,0,1
33,22,29.5440755,1,1
19,24,40.20451078,0,1
16,25,53.68892019,2,1
16,18,50.83603461,2,1
41,68,78.26647601,3,-1
11,23,29.55559588,2,1
0,15,26.64176416,1,1
23,26,60.30842082,1,1
14,42,63.17370258,1,0
22,21,56.17926144,0,1
54,63,55.74315454,3,-1
31,27,45.24747259,2,1
33,23,42.09283362,2,1
38,57,75.37081169,4,-1
25,39,51.44592971,0,1
20,29,18.42369994,0,1
12,15,26.01131537,2,1
8,21,36.24128723,2,1
24,24,27.61971413,2,1
30,29,24.07779014,2,1
42,65,66.27782838,5,-1
28,24,39.03451416,0,1
18,39,55.83920178,1,1
29,34,42.97435768,0,1
49,49,71.71835628,4,-1
32,36,34.54834249,1,1
32,48,70.53379885,4,-1
22,28,31.49377955,1,1
15,21,66.29915364,0,1
18,28,29.88923309,0,1
36,47,70.91806743,3,-1
44,53,73.27659251,4,-1
33,92,71.74568606,3,-1
18,11,48.50598453,2,1
26,79,75.72633675,4,-1
10,22,52.34474203,0,1
21,32,59.19926438,1,1
19,34,45.58147178,2,1
19,15,75.70847179,0,1
2,46,45.93922426,1,1
23,48,81.33333018,3,-1
9,20,20.90664551,1,1
20,77,71.22289964,5,-1
47,70,93.62667022,3,-1
28,63,65.46255669,5,-1
30,20,43.93860818,2,1
45,64,86.42642762,4,-1
38,65,90.50046731,4,-1
29,34,63.23945978,3,-1
31,34,73.25513985,3,-1
23,44,25.91258659,2,1
14,23,33.31469863,1,1
18,40,42.2715817,0,1
10,33,66.70893162,1,1
12,12,59.44482179,0,1
20,32,23.8251265,2,1
38,58,74.8322659,3,-1
23,28,57.26948518,2,1
25,82,60.80996305,3,-1
17,37,28.39479492,0,1
17,27,63.10711949,1,1
40,46,73.65875662,4,-1
42,90,80.37401125,3,-1
47,44,55.17121704,5,-1
51,46,64.44829686,5,-1
28,33,55.81463497,1,1
48,60,73.16360243,4,-1
31,16,48.1619411,1,1
53,62,84.11472019,3,-1
49,48,83.18553452,5,-1
28,29,28.04473685,0,1
32,84,79.03136678,5,-1
38,66,62.92534412,5,-1
28,46,83.65335235,3,-1
56,61,63.63537082,5,-1
0,41,62.20777083,0,1
17,28,49.8140698,2,1
44,60,73.17511496,3,-1
13,40,29.89923661,0,1
37,37,46.05165362,0,1
42,61,68.53692494,3,-1
22,15,59.60862617,2,1
52,58,59.27781561,3,-1
35,42,72.1311434,3,-1
15,21,54.53535957,0,1
14,10,52.18801883,2,1
52,63,86.1098282,3,-1
33,61,78.19163857,5,-1
23,32,35.36888498,0,1
33,65,78.74125155,5,-1
21,44,42.4008228,1,1
23,33,47.16941954,2,1
0,47,25.27099633,1,1
21,28,41.30421489,2,1
41,45,58.36059657,4,-1
8,31,35.25300797,1,1
20,22,45.99763036,1,1
40,36,61.67266703,3,-1
18,49,75.06429475,5,-1
24,19,13.05191098,0,1
33,54,91.03157219,3,-1
18,21,58.88238172,0,1
36,26,47.01401888,0,1
47,48,82.85404611,3,-1
37,74,80.71574501,5,-1
38,36,78.29913924,4,-1
8,36,81.91924127,1,1
29,69,75.17241927,4,-1
21,31,43.11956649,1,1
43,62,85.77362525,5,-1
46,72,68.56789977,4,-1
27,29,72.62567227,2,1
31,62,84.83782703,4,-1
28,77,81.47226091,5,-1
32,44,54.55510875,2,1
48,28,69.58346671,4,-1
39,50,72.93903311,4,-1
39,58,84.96649344,5,-1
35,54,71.06202302,4,-1
20,47,51.18086874,0,1
24,49,59.75497119,4,-1
32,10,45.38764582,2,1
48,66,90.75128355,4,-1
16,66,66.05508468,5,-1
46,78,71.26416352,3,-1
19,17,37.95704749,1,1
20,21,31.12912101,2,1
28,36,50.94873137,0,1
42,69,83.23879175,4,-1
12,20,38.37757332,2,1
17,86,79.90589088,5,-1
36,93,82.94798574,3,-1
33,20,64.72063805,1,1
20,36,26.91102162,1,1
31,29,70.40678679,2,1
15,33,34.78873169,1,1
40,39,7.58315784,1,1
33,67,90.9453578,5,-1
19,40,43.92589992,1,1
15,16,69.96949826,0,1
12,21,54.56106092,2,1
53,35,78.15526765,5,-1
16,29,21.79394114,2,1
11,20,56.47179615,0,1
31,37,40.8088956,0,1
45,47,84.88730935,5,-1
48,71,64.25675843,4,-1
33,51,77.33695385,4,-1
47,74,81.73561315,5,-1
31,67,75.26160584,4,-1
18,23,23.90471682,2,1
28,51,83.86370625,5,-1
58,55,90.99631629,4,-1
23,79,80.61340259,5,-1
18,37,24.54190754,0,1
31,63,60.78661733,4,-1
32,73,64.98499444,3,-1
48,61,84.60488586,3,-1
16,44,37.19581417,1,1
40,80,65.04693815,4,-1
19,45,37.90757715,1,1
24,40,47.01331926,2,1
19,49,69.08959212,3,-1
30,56,71.06186172,4,-1
47,54,52.33981824,4,-1
36,26,77.04927194,4,-1
17,55,14.297802,1,1
13,35,43.02982079,1,1
25,33,83.38561642,0,1
24,75,71.16214956,4,-1
61,73,87.62332767,3,-1
29,30,60.29574179,1,1
12,23,27.35451183,1,1
11,17,35.37259198,2,1
48,71,72.57066672,5,-1
20,37,49.75559367,2,1
30,64,67.04713417,5,-1
30,59,73.50014887,3,-1
16,30,46.05791717,0,1
28,48,64.6556758,1,1
4,36,41.14995089,0,1
53,50,69.63473582,5,-1
18,19,46.1217836,1,1
19,26,65.53375747,0,1
38,66,54.50993217,5,-1
0,20,46.86625724,0,1
29,29,77.9804482,4,-1
15,8,50.58810467,0,1
25,15,15.43571986,0,1
25,64,86.98084631,3,-1
16,45,27.03677191,0,1
22,44,26.80977573,1,1
22,61,61.66841086,4,-1
34,13,21.16638171,1,1
37,38,53.38768132,3,-1
18,22,13.15975108,0,1
32,83,76.44340021,3,-1
27,45,54.70609431,2,1
38,36,70.27119898,5,-1
25,10,62.40766542,2,1
9,27,41.23196616,2,1
12,15,13.22594566,1,1
47,36,74.04890453,5,-1
36,56,72.59241373,4,-1
21,27,42.18855374,1,1
34,68,73.29302752,4,-1
3,25,23.36790588,1,1
23,73,71.17683144,3,-1
21,35,72.09850851,1,1
11,30,63.17094836,2,1
33,66,76.78998747,3,-1
20,12,55.5647584,2,1
42,60,78.16364159,4,-1
20,27,37.01281996,0,1
27,13,39.19595359,2,1
